plaza_code,Tollname,Latitude,Longitude,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single
545006,Bhourasa Toll Plaza,22.97513949,76.21851653,0,0,0,0,0,0,0
545052,Bhuteda Toll Plaza,23.59756595,75.16352193,0,0,0,0,0,0,0
545049,Bijanhai Toll Plaza,23.13194374,78.50603707,0,0,0,0,0,0,0
320057,Bilakbarpur,28.52036096,77.60053271,0,0,0,0,0,0,0
545008,Bilantri Toll Plaza,24.020435,75.290547,0,0,0,0,0,0,0
545032,Billaua Toll Plaza,26.055268,78.252663,0,0,0,0,0,0,0
536155,Biloli Check Post,18.78375938,77.70149824,0,0,0,0,0,0,0
556053,Bisanda Km 24,25.40294507,80.58282455,0,0,0,0,0,0,0
536015,Bochasan Toll Plaza,22.413346,72.85195908,0,0,0,0,0,0,0
550012,Bongulur,17.23796052,78.58412549,0,0,0,0,0,0,0
536058,Bonli Toll Plaza,26.33140126,76.24454618,0,0,0,0,0,0,0
536299,Booteri Toll Plaza,27.80522099,76.66533476,0,0,0,0,0,0,0
545050,Boras Toll Plaza,23.0303085,78.5152093,0,0,0,0,0,0,0
536153,Borgaon Check Post,18.44300047,75.24732886,0,0,0,0,0,0,0
536303,Brahmbad Toll Plaza,26.91650928,77.31582178,0,0,0,0,0,0,0
312062,Buchawas Toll Plaza,28.30540032,76.223176,0,0,0,0,0,0,0
556008,Buddareddyh Alli Toll Plaza,14.20281771,77.26081154,0,0,0,0,0,0,0
536267,Budsu Nagur Toll Plaza,27.13058789,74.69533799,0,0,0,0,0,0,0
556003,Byadarahalli Toll Plaza,12.87126942,76.0713867,0,0,0,0,0,0,0
560008,Central Server Plaza,12.86376189,80.17479403,0,0,0,0,0,0,0
560002,Central Server Toll Plaza,12.95633442,80.24334614,0,0,0,0,0,0,0
312056,Chabri Toll Plaza,29.28098922,76.46990037,0,0,0,0,0,0,0
546029,Chachakhedi,23.58165129,76.18980442,0,0,0,0,0,0,0
545051,Chakrawda Toll Plaza,23.25498074,75.71726038,0,0,0,0,0,0,0
536296,Chala Toll Plaza,27.66329856,75.66752721,0,0,0,0,0,0,0
345087,Chanatoriya (Sagar) Toll Plaza,23.88772738,78.8705096,0,0,0,0,0,0,0
312051,Chandlana Toll Plaza,29.86338557,76.64068047,0,0,0,0,0,0,0
570011,Chapri Toll Plaza,27.349756,74.671431,0,0,0,0,0,0,0
556012,Chattar Toll Plaza,15.91033576,76.44631083,0,0,0,0,0,0,0
536098,Chautala Toll Plaza,29.78728834,74.51753976,0,0,0,0,0,0,0
536240,Chechat (Gumanpura) Toll Plaza,24.74122718,75.93759267,0,0,0,0,0,0,0
536307,Chechat Toll Plaza,24.7594444,75.90869444,0,0,0,0,0,0,0
312021,Chhajju Nagar,28.09940465,77.36398512,0,0,0,0,0,0,0
536278,Chhan (Massi River) Toll Plaza,26.56293443,75.29745232,0,0,0,0,0,0,0
545027,Chikliya Toll Plaza,23.23095639,75.12642997,0,0,0,0,0,0,0
556022,Chinchani Plaza,16.41876867,74.5396164,0,0,0,0,0,0,0
560017,Chinnamullaivoy Al,13.2541051,80.23986212,0,0,0,0,0,0,0
560012,Chinthamani Toll Plaza,9.88121579,78.13856839,0,0,0,0,0,0,0
556061,Chiriya Km 201,26.16289351,79.27852115,0,0,0,0,0,0,0
556052,Chitrakoot/Bharatkup Km 04,25.25155814,80.74474186,0,0,0,0,0,0,0
536065,Chittora,26.331613,78.48977671,0,0,0,0,0,0,0
536124,Chohilanwali Toll Plaza,29.39582259,74.25656518,0,0,0,0,0,0,0
545026,Chokala Toll Plaza,22.93119696,75.2508522,0,0,0,0,0,0,0
